funcid,dim,milestone,error
28,10,3,5.657646e+02
28,10,5,4.724914e+02
28,10,10,4.463942e+02
28,10,20,4.313929e+02
28,10,30,4.228113e+02
28,10,40,4.167748e+02
28,10,50,4.065093e+02
28,10,60,3.836471e+02
28,10,70,3.373190e+02
28,10,80,3.000304e+02
28,10,90,3.000001e+02
28,10,100,3.000001e+02
28,10,1,6.465386e+02
28,10,2,5.729457e+02
28,10,3,5.657646e+02
28,10,5,4.724914e+02
28,10,10,4.463942e+02
28,10,20,4.313929e+02
28,10,30,4.228113e+02
28,10,40,4.167748e+02
28,10,50,4.065093e+02
28,10,60,3.836471e+02
28,10,70,3.373190e+02
28,10,80,3.000304e+02
28,10,90,3.000001e+02
28,10,100,3.000001e+02
28,10,1,6.465386e+02
28,10,2,5.729457e+02
28,10,3,5.657646e+02
28,10,5,4.724914e+02
28,10,10,4.463942e+02
28,10,20,4.313929e+02
28,10,30,4.228113e+02
28,10,40,4.167748e+02
28,10,50,4.065093e+02
28,10,60,3.836471e+02
28,10,70,3.373190e+02
28,10,80,3.000304e+02
28,10,90,3.000001e+02
28,10,100,3.000001e+02
28,10,1,6.465386e+02
28,10,2,5.729457e+02
28,10,3,5.657646e+02
28,10,5,4.724914e+02
28,10,10,4.463942e+02
28,10,20,4.313929e+02
28,10,30,4.228113e+02
28,10,40,4.167748e+02
28,10,50,4.065093e+02
28,10,60,3.836471e+02
28,10,70,3.373190e+02
28,10,80,3.000304e+02
28,10,90,3.000001e+02
28,10,100,3.000001e+02
28,10,1,6.465386e+02
28,10,2,5.729457e+02
28,10,3,5.657646e+02
28,10,5,4.724914e+02
28,10,10,4.463942e+02
28,10,20,4.313929e+02
28,10,30,4.228113e+02
28,10,40,4.167748e+02
28,10,50,4.065093e+02
28,10,60,3.836471e+02
28,10,70,3.373190e+02
28,10,80,3.000304e+02
28,10,90,3.000001e+02
28,10,100,3.000001e+02
28,10,1,6.465386e+02
28,10,2,5.729457e+02
28,10,3,5.657646e+02
28,10,5,4.724914e+02
28,10,10,4.463942e+02
28,10,20,4.313929e+02
28,10,30,4.228113e+02
28,10,40,4.167748e+02
28,10,50,4.065093e+02
28,10,60,3.836471e+02
28,10,70,3.373190e+02
28,10,80,3.000304e+02
28,10,90,3.000001e+02
28,10,100,3.000001e+02
28,10,1,6.465386e+02
28,10,2,5.729457e+02
28,10,3,5.657646e+02
28,10,5,4.724914e+02
28,10,10,4.463942e+02
28,10,20,4.313929e+02
28,10,30,4.228113e+02
28,10,40,4.167748e+02
28,10,50,4.065093e+02
28,10,60,3.836471e+02
28,10,70,3.373190e+02
28,10,80,3.000304e+02
28,10,90,3.000001e+02
28,10,100,3.000001e+02
28,10,1,6.465386e+02
28,10,2,5.729457e+02
28,10,3,5.657646e+02
28,10,5,4.724914e+02
28,10,10,4.463942e+02
28,10,20,4.313929e+02
28,10,30,4.228113e+02
28,10,40,4.167748e+02
28,10,50,4.065093e+02
28,10,60,3.836471e+02
28,10,70,3.373190e+02
28,10,80,3.000304e+02
28,10,90,3.000001e+02
28,10,100,3.000001e+02
28,10,1,6.465386e+02
28,10,2,5.729457e+02
28,10,3,5.657646e+02
28,10,5,4.724914e+02
28,10,10,4.463942e+02
28,10,20,4.313929e+02
28,10,30,4.228113e+02
28,10,40,4.167748e+02
28,10,50,4.065093e+02
28,10,60,3.836471e+02
28,10,70,3.373190e+02
28,10,80,3.000304e+02
28,10,90,3.000001e+02
28,10,100,3.000001e+02
28,10,1,6.465386e+02
28,10,2,5.729457e+02
28,10,3,5.657646e+02
28,10,5,4.724914e+02
28,10,10,4.463942e+02
28,10,20,4.313929e+02
28,10,30,4.228113e+02
28,10,40,4.167748e+02
28,10,50,4.065093e+02
28,10,60,3.836471e+02
28,10,70,3.373190e+02
28,10,80,3.000304e+02
28,10,90,3.000001e+02
28,10,100,3.000001e+02
28,10,1,6.465386e+02
28,10,2,5.729457e+02
28,10,3,5.657646e+02
28,10,5,4.724914e+02
28,10,10,4.463942e+02
28,10,20,4.313929e+02
28,10,30,4.228113e+02
28,10,40,4.167748e+02
28,10,50,4.065093e+02
28,10,60,3.836471e+02
28,10,70,3.373190e+02
28,10,80,3.000304e+02
28,10,90,3.000001e+02
28,10,100,3.000001e+02
28,10,1,6.465386e+02
28,10,2,5.729457e+02
28,10,3,5.657646e+02
28,10,5,4.724914e+02
28,10,10,4.463942e+02
28,10,20,4.313929e+02
28,10,30,4.228113e+02
28,10,40,4.167748e+02
28,10,50,4.065093e+02
28,10,60,3.836471e+02
28,10,70,3.373190e+02
28,10,80,3.000304e+02
28,10,90,3.000001e+02
28,10,100,3.000001e+02
28,10,1,6.465386e+02
28,10,2,5.729457e+02
28,10,3,5.657646e+02
28,10,5,4.724914e+02
28,10,10,4.463942e+02
28,10,20,4.313929e+02
28,10,30,4.228113e+02
28,10,40,4.167748e+02
28,10,50,4.065093e+02
28,10,60,3.836471e+02
28,10,70,3.373190e+02
28,10,80,3.000304e+02
28,10,90,3.000001e+02
28,10,100,3.000001e+02
