funcid,dim,milestone,error
20,10,100,6.379983e+01
20,10,1,2.365475e+02
20,10,2,1.250543e+02
20,10,3,1.250543e+02
20,10,5,1.098632e+02
20,10,10,9.810204e+01
20,10,20,9.764063e+01
20,10,30,9.402522e+01
20,10,40,9.394927e+01
20,10,50,9.394914e+01
20,10,60,9.393286e+01
20,10,70,9.392481e+01
20,10,80,9.390661e+01
20,10,90,6.945712e+01
20,10,100,6.379983e+01
20,10,1,2.365475e+02
20,10,2,1.250543e+02
20,10,3,1.250543e+02
20,10,5,1.098632e+02
20,10,10,9.810204e+01
20,10,20,9.764063e+01
20,10,30,9.402522e+01
20,10,40,9.394927e+01
20,10,50,9.394914e+01
20,10,60,9.393286e+01
20,10,70,9.392481e+01
20,10,80,9.390661e+01
20,10,90,6.945712e+01
20,10,100,6.379983e+01
20,10,1,2.365475e+02
20,10,2,1.250543e+02
20,10,3,1.250543e+02
20,10,5,1.098632e+02
20,10,10,9.810204e+01
20,10,20,9.764063e+01
20,10,30,9.402522e+01
20,10,40,9.394927e+01
20,10,50,9.394914e+01
20,10,60,9.393286e+01
20,10,70,9.392481e+01
20,10,80,9.390661e+01
20,10,90,6.945712e+01
20,10,100,6.379983e+01
20,10,1,2.365475e+02
20,10,2,1.250543e+02
20,10,3,1.250543e+02
20,10,5,1.098632e+02
20,10,10,9.810204e+01
20,10,20,9.764063e+01
20,10,30,9.402522e+01
20,10,40,9.394927e+01
20,10,50,9.394914e+01
20,10,60,9.393286e+01
20,10,70,9.392481e+01
20,10,80,9.390661e+01
20,10,90,6.945712e+01
20,10,100,6.379983e+01
20,10,1,2.365475e+02
20,10,2,1.250543e+02
20,10,3,1.250543e+02
20,10,5,1.098632e+02
20,10,10,9.810204e+01
20,10,20,9.764063e+01
20,10,30,9.402522e+01
20,10,40,9.394927e+01
20,10,50,9.394914e+01
20,10,60,9.393286e+01
20,10,70,9.392481e+01
20,10,80,9.390661e+01
20,10,90,6.945712e+01
20,10,100,6.379983e+01
20,10,1,2.365475e+02
20,10,2,1.250543e+02
20,10,3,1.250543e+02
20,10,5,1.098632e+02
20,10,10,9.810204e+01
20,10,20,9.764063e+01
20,10,30,9.402522e+01
20,10,40,9.394927e+01
20,10,50,9.394914e+01
20,10,60,9.393286e+01
20,10,70,9.392481e+01
20,10,80,9.390661e+01
20,10,90,6.945712e+01
20,10,100,6.379983e+01
20,10,1,2.365475e+02
20,10,2,1.250543e+02
20,10,3,1.250543e+02
20,10,5,1.098632e+02
20,10,10,9.810204e+01
20,10,20,9.764063e+01
20,10,30,9.402522e+01
20,10,40,9.394927e+01
20,10,50,9.394914e+01
20,10,60,9.393286e+01
20,10,70,9.392481e+01
20,10,80,9.390661e+01
20,10,90,6.945712e+01
20,10,100,6.379983e+01
20,10,1,2.365475e+02
20,10,2,1.250543e+02
20,10,3,1.250543e+02
20,10,5,1.098632e+02
20,10,10,9.810204e+01
20,10,20,9.764063e+01
20,10,30,9.402522e+01
20,10,40,9.394927e+01
20,10,50,9.394914e+01
20,10,60,9.393286e+01
20,10,70,9.392481e+01
20,10,80,9.390661e+01
20,10,90,6.945712e+01
20,10,100,6.379983e+01
20,10,1,2.365475e+02
20,10,2,1.250543e+02
20,10,3,1.250543e+02
20,10,5,1.098632e+02
20,10,10,9.810204e+01
20,10,20,9.764063e+01
20,10,30,9.402522e+01
20,10,40,9.394927e+01
20,10,50,9.394914e+01
20,10,60,9.393286e+01
20,10,70,9.392481e+01
20,10,80,9.390661e+01
20,10,90,6.945712e+01
20,10,100,6.379983e+01
20,10,1,2.365475e+02
20,10,2,1.250543e+02
20,10,3,1.250543e+02
20,10,5,1.098632e+02
20,10,10,9.810204e+01
20,10,20,9.764063e+01
20,10,30,9.402522e+01
20,10,40,9.394927e+01
20,10,50,9.394914e+01
20,10,60,9.393286e+01
20,10,70,9.392481e+01
20,10,80,9.390661e+01
20,10,90,6.945712e+01
20,10,100,6.379983e+01
20,10,1,2.365475e+02
20,10,2,1.250543e+02
20,10,3,1.250543e+02
20,10,5,1.098632e+02
20,10,10,9.810204e+01
20,10,20,9.764063e+01
20,10,30,9.402522e+01
20,10,40,9.394927e+01
20,10,50,9.394914e+01
20,10,60,9.393286e+01
20,10,70,9.392481e+01
20,10,80,9.390661e+01
20,10,90,6.945712e+01
20,10,100,6.379983e+01
20,10,1,2.365475e+02
20,10,2,1.250543e+02
20,10,3,1.250543e+02
20,10,5,1.098632e+02
20,10,10,9.810204e+01
20,10,20,9.764063e+01
20,10,30,9.402522e+01
20,10,40,9.394927e+01
20,10,50,9.394914e+01
20,10,60,9.393286e+01
20,10,70,9.392481e+01
20,10,80,9.390661e+01
20,10,90,6.945712e+01
20,10,100,6.379983e+01
20,10,1,2.365475e+02
20,10,2,1.250543e+02
20,10,3,1.250543e+02
20,10,5,1.098632e+02
20,10,10,9.810204e+01
20,10,20,9.764063e+01
20,10,30,9.402522e+01
20,10,40,9.394927e+01
20,10,50,9.394914e+01
20,10,60,9.393286e+01
20,10,70,9.392481e+01
20,10,80,9.390661e+01
20,10,90,6.945712e+01
20,10,100,6.379983e+01
